Account,Day,Details,Amount,Balance,Transaction ID,Business Name
3 2nd Avenue Rent,305,Rent,-154.5364,4227468.0,,
29 1st Avenue Rent,305,Rent,-317.3102,4201176.0,,
59 3rd Street Rent,305,Rent,-75.99196,4184730.0,,
Marketing campaigns for Karvin Kween,305,Marketing,-500.0,4532597.0,9.0,Karvin Kween
Marketing campaigns for Karvin Kween,305,Marketing,-250.0,4533097.0,9.0,Karvin Kween
Curtis Norris (Elite Jewels Daily Wage),305,Wage,-368.0,4529477.0,3.0,Elite Jewels
Bradley Turner (Karvin Kween Daily Wage),305,Wage,-90.0,4528316.0,9.0,Karvin Kween
Katie Ward (Elite Jewels Daily Wage),305,Wage,-256.0,4528406.0,3.0,Elite Jewels
Marketing campaigns for Elite Couture,305,Marketing,-1350.0,4553997.0,2.0,Elite Couture
Marketing campaigns for Kalico Midtown,305,Marketing,-2750.0,4555347.0,4.0,Kalico Midtown
Scarlett Davis (Elite Couture Daily Wage),305,Wage,-264.0,4528662.0,2.0,Elite Couture
Lilly Harris (Elite Couture Daily Wage),305,Wage,-288.0,4528926.0,2.0,Elite Couture
Frederick Kelly (Elite Couture Daily Wage),305,Wage,-27.0,4529214.0,2.0,Elite Couture
Dominic Fisher (Elite Jewels Daily Wage),305,Wage,-184.0,4529241.0,3.0,Elite Jewels
Traci Parker (Elite Jewels Daily Wage),305,Wage,-52.0,4529425.0,3.0,Elite Jewels
Marketing campaigns for Karakata Associates,305,Marketing,-500.0,4558097.0,5.0,Karakata Associates
24 2nd Avenue Rent,305,Rent,-460.3931,4227622.0,,
Mollie Jenkins (Karakata Holdings Daily Wage),305,Wage,-224.0,4530241.0,,
Tristan Barker (Katalytica Daily Wage),305,Wage,-536.0,4530465.0,12.0,Katalytica
Olivia Cox (Katalytica Daily Wage),305,Wage,-432.0,4531001.0,12.0,Katalytica
Maria Willis (Karvin Kween Daily Wage),305,Wage,-200.0,4531433.0,9.0,Karvin Kween
Grover Brown (Karakata Holdings Daily Wage),305,Wage,-200.0,4531633.0,,
Lara Norris (Warehouse #1 Daily Wage),305,Wage,-153.9,4531833.0,,
Merit Johnson (Karakata Holdings Daily Wage),305,Wage,-224.0,4531987.0,,
Christian Hall (Karakata Holdings Daily Wage),305,Wage,-184.0,4532211.0,,
Tommy Brooks (Katalytica Daily Wage),305,Wage,-44.0,4532395.0,12.0,Katalytica
Evie Jones (Katalytica Daily Wage),305,Wage,-448.0,4532439.0,12.0,Katalytica
Annabelle Stewart (Katar Midtown Daily Wage),305,Wage,-396.0,4529845.0,13.0,Katar Midtown
Dominic Fisher (Elite Jewels Daily Wage),306,Wage,-368.0,4976979.0,3.0,Elite Jewels
Douglas Collins (Karakata Holdings Daily Wage),306,Wage,-44.0,4977347.0,,
Christian Hall (Karakata Holdings Daily Wage),306,Wage,-184.0,4979425.0,,
Oscar Evans (Katar Midtown Daily Wage),306,Wage,-276.0,4977589.0,13.0,Katar Midtown
Marketing campaigns for Katar Midtown,306,Marketing,-9350.0,4980411.0,13.0,Katar Midtown
Evie Jones (Katalytica Daily Wage),306,Wage,-448.0,4980253.0,12.0,Katalytica
Lily Barton (Katalytica Daily Wage),306,Wage,-344.0,4979909.0,12.0,Katalytica
Zoe Gomez (Elite Jewels Daily Wage),306,Wage,-256.0,4979653.0,3.0,Elite Jewels
Theodore Brown (Karakata Holdings Daily Wage),306,Wage,-160.0,4951105.0,,
Tommy Brooks (Katalytica Daily Wage),306,Wage,-44.0,4979609.0,12.0,Katalytica
Annabelle Stewart (Katar Midtown Daily Wage),306,Wage,-198.0,4977391.0,13.0,Katar Midtown
Frederick Kelly (Elite Couture Daily Wage),306,Wage,-27.0,4976952.0,2.0,Elite Couture
Katherine Moss (Elite Jewels Daily Wage),306,Wage,-100.0,4979101.0,3.0,Elite Jewels
Lara Norris (Warehouse #1 Daily Wage),306,Wage,-153.9,4978947.0,,
Grover Brown (Karakata Holdings Daily Wage),306,Wage,-200.0,4978747.0,,
Tristan Barker (Katalytica Daily Wage),306,Wage,-402.0,4978345.0,12.0,Katalytica
Maya Turner (Karvin Kween Daily Wage),306,Wage,-256.0,4978089.0,9.0,Karvin Kween
Mollie Jenkins (Karakata Holdings Daily Wage),306,Wage,-224.0,4977865.0,,
Merit Johnson (Karakata Holdings Daily Wage),306,Wage,-224.0,4979201.0,,
Lilly Harris (Elite Couture Daily Wage),306,Wage,-288.0,4976664.0,2.0,Elite Couture
Zoe Thompson (The Green Salad Daily Wage),306,Wage,-306.0,4973539.0,17.0,The Green Salad
Bradley Turner (Karvin Kween Daily Wage),306,Wage,-90.0,4976310.0,9.0,Karvin Kween
Traci Martin (The Suits Law Firm Daily Wage),306,Wage,-1544.0,4960625.0,18.0,The Suits Law Firm
Charlotte Murphy (The Suits Law Firm Daily Wage),306,Wage,-1272.0,4959353.0,18.0,The Suits Law Firm
Bonnie Howard (The Suits Law Firm Daily Wage),306,Wage,-888.0,4958465.0,18.0,The Suits Law Firm
Margaret Smith (The Suits Law Firm Daily Wage),306,Wage,-928.0,4957537.0,18.0,The Suits Law Firm
Leah Martin (The Suits Law Firm Daily Wage),306,Wage,-1128.0,4956409.0,18.0,The Suits Law Firm
Kevin Bennett (The Suits Law Firm Daily Wage),306,Wage,-56.0,4956353.0,18.0,The Suits Law Firm
Sonny Mitchell (Karakata Associates Daily Wage),306,Wage,-968.0,4955385.0,5.0,Karakata Associates
Naomi Robinson (Karakata Associates Daily Wage),306,Wage,-984.0,4954401.0,5.0,Karakata Associates
Stephanie Wilson (Karakata Associates Daily Wage),306,Wage,-616.0,4953785.0,5.0,Karakata Associates
Roosevelt Wright (Karakata Associates Daily Wage),306,Wage,-912.0,4952873.0,5.0,Karakata Associates
Homer Foster (Karakata Associates Daily Wage),306,Wage,-736.0,4952137.0,5.0,Karakata Associates
Sadie Powell (Karakata Associates Daily Wage),306,Wage,-40.0,4952097.0,5.0,Karakata Associates
The Suits Law Firm Revenue,306,Revenue,76800.0,5027584.0,18.0,The Suits Law Firm
Curtis Jackson (Katar Midtown Daily Wage),306,Wage,-288.0,4951809.0,13.0,Katar Midtown
Zoe Campbell (Karakata Holdings Daily Wage),306,Wage,-232.0,4951265.0,,
Marketing campaigns for Elite Jewels,306,Marketing,-9350.0,4989761.0,3.0,Elite Jewels
Justin Davis (Katar Midtown Daily Wage),306,Wage,-312.0,4951497.0,13.0,Katar Midtown
Louise Gomez (The Suits Law Firm Daily Wage),306,Wage,-1600.0,4962169.0,18.0,The Suits Law Firm
Scarlett Davis (Elite Couture Daily Wage),306,Wage,-264.0,4976400.0,2.0,Elite Couture
Isabel Roberts (The Suits Law Firm Daily Wage),306,Wage,-1344.0,4963769.0,18.0,The Suits Law Firm
Elise Sanchez (The Suits Law Firm Daily Wage),306,Wage,-1368.0,4966081.0,18.0,The Suits Law Firm
Justin Mitchell (Karvin Kween Daily Wage),306,Wage,-208.0,4976102.0,9.0,Karvin Kween
Eliza Owens (Katar Midtown Daily Wage),306,Wage,-216.0,4975886.0,13.0,Katar Midtown
Kathryn James (Karakata Holdings Daily Wage),306,Wage,-208.0,4975678.0,,
Georgina Lopez (Karakata Holdings Daily Wage),306,Wage,-192.0,4975486.0,,
Zachary Hill (Warehouse #2 Daily Wage),306,Wage,-159.6,4975327.0,,
Mollie Martinez (Kalico Midtown Daily Wage),306,Wage,-200.0,4975127.0,4.0,Kalico Midtown
Traci Miles (Karakata Holdings Daily Wage),306,Wage,-192.0,4974935.0,,
Joel Rogers (Kalico Midtown Daily Wage),306,Wage,-240.0,4974695.0,4.0,Kalico Midtown
Wilhelmina Cooper (Kalico Midtown Daily Wage),306,Wage,-264.0,4974431.0,4.0,Kalico Midtown
Leon Powell (Kalico Midtown Daily Wage),306,Wage,-320.0,4974111.0,4.0,Kalico Midtown
Ralph Hughes (The Green Salad Daily Wage),306,Wage,-266.0,4973845.0,17.0,The Green Salad
Harvey Anderson (The Green Salad Daily Wage),306,Wage,-224.0,4973315.0,17.0,The Green Salad
Zoe Cooper (The Green Salad Daily Wage),306,Wage,-434.0,4972881.0,17.0,The Green Salad
Ruth Gray (The Suits Law Firm Daily Wage),306,Wage,-1632.0,4971249.0,18.0,The Suits Law Firm
Ava Powell (The Suits Law Firm Daily Wage),306,Wage,-1400.0,4969849.0,18.0,The Suits Law Firm
Daisy Williams (The Suits Law Firm Daily Wage),306,Wage,-1512.0,4968337.0,18.0,The Suits Law Firm
Lindsey Hall (The Suits Law Firm Daily Wage),306,Wage,-888.0,4967449.0,18.0,The Suits Law Firm
Nicholas Sanchez (The Suits Law Firm Daily Wage),306,Wage,-968.0,4965113.0,18.0,The Suits Law Firm
Marketing campaigns for The Green Salad,306,Marketing,-1350.0,4999111.0,17.0,The Green Salad
Elite Jewels Revenue,306,Revenue,267400.0,5457572.0,3.0,Elite Jewels
Marketing campaigns for Karvin Kween,306,Marketing,-1350.0,5001811.0,9.0,Karvin Kween
42 3rd Street rent revenue,306,RentRevenue,290.7497,4532887.0,,
Kalico Midtown Revenue,306,Revenue,28806.0,5075040.0,4.0,Kalico Midtown
Karvin Kween Revenue,306,Revenue,11475.0,5085900.0,9.0,Karvin Kween
Elite Couture Revenue,306,Revenue,88480.0,5173868.0,2.0,Elite Couture
The Green Salad Revenue,306,Revenue,17713.0,5191331.0,17.0,The Green Salad
Karakata Associates Revenue,306,Revenue,9120.0,5046551.0,5.0,Karakata Associates
Katar Midtown Revenue,306,Revenue,66603.0,5523017.0,13.0,Katar Midtown
Marketing campaigns for Elite Couture,306,Marketing,-1350.0,5000461.0,2.0,Elite Couture
Katalytica Revenue,306,Revenue,10000.0,5037456.0,12.0,Katalytica
31 1st Avenue Rent,306,Rent,-201.106,4503306.0,,
59 3rd Street Rent,306,Rent,-75.99196,4568030.0,,
1 5th Street Rent,306,Rent,-52.13275,4567978.0,,
29 5th Avenue Rent,306,Rent,-24.32862,4577953.0,,
Public parking for UMC Desert,306,PublicParking,-120.0,4950985.0,,
24 2nd Avenue Rent,306,Rent,-460.3931,4612070.0,,
19 1st Avenue Rent,306,Rent,-250.508,4696614.0,,
Marketing campaigns for The Suits Law Firm,306,Marketing,-2750.0,5006911.0,18.0,The Suits Law Firm
6 3rd Avenue Rent,306,Rent,-1158.506,4945080.0,,
Marketing campaigns for Karakata Associates,306,Marketing,-500.0,5005911.0,5.0,Karakata Associates
30 2nd Avenue Rent,306,Rent,-1158.506,4712838.0,,
Marketing campaigns for Katalytica,306,Marketing,-500.0,5006411.0,12.0,Katalytica
5 8th Street Rent,306,Rent,-135.4097,4620924.0,,
29 1st Avenue Rent,306,Rent,-317.3102,4584476.0,,
33 5th Avenue Rent,306,Rent,-230.1557,4621060.0,,
21 5th Avenue Rent,306,Rent,-145.9717,4621290.0,,
3 2nd Avenue Rent,306,Rent,-154.5364,4611916.0,,
Marketing campaigns for Kalico Midtown,306,Marketing,-2750.0,5003161.0,4.0,Kalico Midtown
Katalytica Revenue,307,Revenue,9000.0,5431534.0,12.0,Katalytica
Karvin Kween Revenue,307,Revenue,10800.0,5479186.0,9.0,Karvin Kween
Kalico Midtown Revenue,307,Revenue,28974.0,5469001.0,4.0,Kalico Midtown
Karakata Associates Revenue,307,Revenue,8835.0,5440344.0,5.0,Karakata Associates
The Green Salad Revenue,307,Revenue,17888.0,5600332.0,17.0,The Green Salad
59 3rd Street Rent,307,Rent,-75.99196,5027508.0,,
The Suits Law Firm Revenue,307,Revenue,96000.0,5422662.0,18.0,The Suits Law Firm
Zoe Thompson (The Green Salad Daily Wage),307,Wage,-340.0,5346899.0,17.0,The Green Salad
Elite Jewels Revenue,307,Revenue,331800.0,5930973.0,3.0,Elite Jewels
Katar Midtown Revenue,307,Revenue,38745.0,5968560.0,13.0,Katar Midtown
Jennifer Kelly (The Green Salad Daily Wage),307,Wage,-350.0,5347239.0,17.0,The Green Salad
Harvey Anderson (The Green Salad Daily Wage),307,Wage,-288.0,5346611.0,17.0,The Green Salad
31 1st Avenue Rent,307,Rent,-201.106,4950784.0,,
Elite Couture Revenue,307,Revenue,104020.0,5582694.0,2.0,Elite Couture
Public parking for UMC Desert,307,PublicParking,-120.0,5326863.0,,
Replacement for Lewin Allen (Karakata Associates Wage),307,ReplacementWage,-920.0,5327541.0,5.0,Karakata Associates
Replacement for Jason Miller (Elite Jewels Wage),307,ReplacementWage,-455.0,5327046.0,3.0,Elite Jewels
1 5th Street Rent,307,Rent,-52.13275,5027456.0,,
Mark Nelson (Katar Midtown Daily Wage),307,Wage,-516.0,5346095.0,13.0,Katar Midtown
29 5th Avenue Rent,307,Rent,-24.32862,5037431.0,,
Zoe Foster (Katar Midtown Daily Wage),307,Wage,-300.0,5345795.0,13.0,Katar Midtown
Ruth Gray (The Suits Law Firm Daily Wage),307,Wage,-1632.0,5344163.0,18.0,The Suits Law Firm
Ava Powell (The Suits Law Firm Daily Wage),307,Wage,-1400.0,5342763.0,18.0,The Suits Law Firm
Daisy Williams (The Suits Law Firm Daily Wage),307,Wage,-1512.0,5341251.0,18.0,The Suits Law Firm
Lindsey Hall (The Suits Law Firm Daily Wage),307,Wage,-888.0,5340363.0,18.0,The Suits Law Firm
Taylor Myers (The Suits Law Firm Daily Wage),307,Wage,-1024.0,5339339.0,18.0,The Suits Law Firm
Curtis Harris (Katar Midtown Daily Wage),307,Wage,-63.0,5326983.0,13.0,Katar Midtown
Elise Sanchez (The Suits Law Firm Daily Wage),307,Wage,-1368.0,5337971.0,18.0,The Suits Law Firm
Owen Martin (The Suits Law Firm Daily Wage),307,Wage,-728.0,5336275.0,18.0,The Suits Law Firm
Courtney Nicholson (The Suits Law Firm Daily Wage),307,Wage,-968.0,5335307.0,18.0,The Suits Law Firm
Traci Martin (The Suits Law Firm Daily Wage),307,Wage,-1544.0,5332163.0,18.0,The Suits Law Firm
Bonnie Howard (The Suits Law Firm Daily Wage),307,Wage,-888.0,5331275.0,18.0,The Suits Law Firm
Margaret Smith (The Suits Law Firm Daily Wage),307,Wage,-928.0,5330347.0,18.0,The Suits Law Firm
Kevin Bennett (The Suits Law Firm Daily Wage),307,Wage,-56.0,5330291.0,18.0,The Suits Law Firm
Replacement for Lewis Murphy (Karakata Associates Wage),307,ReplacementWage,-950.0,5329341.0,5.0,Karakata Associates
Replacement for Marie Walker (Karakata Associates Wage),307,ReplacementWage,-880.0,5328461.0,5.0,Karakata Associates
Sadie Powell (Karakata Associates Daily Wage),307,Wage,-40.0,5327501.0,5.0,Karakata Associates
Nicholas Sanchez (The Suits Law Firm Daily Wage),307,Wage,-968.0,5337003.0,18.0,The Suits Law Firm
Louise Gomez (The Suits Law Firm Daily Wage),307,Wage,-1600.0,5333707.0,18.0,The Suits Law Firm
29 1st Avenue Rent,307,Rent,-317.3102,5046234.0,,
Leon Powell (Kalico Midtown Daily Wage),307,Wage,-64.0,5347855.0,4.0,Kalico Midtown
Ralph Hughes (The Green Salad Daily Wage),307,Wage,-266.0,5347589.0,17.0,The Green Salad
Marketing campaigns for Katar Midtown,307,Marketing,-9350.0,5352172.0,13.0,Katar Midtown
Marketing campaigns for Elite Jewels,307,Marketing,-9350.0,5361522.0,3.0,Elite Jewels
Marketing campaigns for The Green Salad,307,Marketing,-1350.0,5370872.0,17.0,The Green Salad
Marketing campaigns for Elite Couture,307,Marketing,-1350.0,5372222.0,2.0,Elite Couture
Marketing campaigns for Karvin Kween,307,Marketing,-1350.0,5373572.0,9.0,Karvin Kween
Marketing campaigns for Karakata Associates,307,Marketing,-500.0,5377672.0,5.0,Karakata Associates
Marketing campaigns for Katalytica,307,Marketing,-500.0,5378172.0,12.0,Katalytica
Evie Jones (Katalytica Daily Wage),307,Wage,-448.0,5352014.0,12.0,Katalytica
Marketing campaigns for The Suits Law Firm,307,Marketing,-2750.0,5378672.0,18.0,The Suits Law Firm
24 2nd Avenue Rent,307,Rent,-460.3931,5074579.0,,
6 3rd Avenue Rent,307,Rent,-1158.506,5456414.0,,
30 2nd Avenue Rent,307,Rent,-1158.506,5190172.0,,
19 1st Avenue Rent,307,Rent,-250.508,5173618.0,,
5 8th Street Rent,307,Rent,-135.4097,5085388.0,,
33 5th Avenue Rent,307,Rent,-230.1557,5085524.0,,
21 5th Avenue Rent,307,Rent,-145.9717,5085754.0,,
3 2nd Avenue Rent,307,Rent,-154.5364,5074425.0,,
Delivery from United Ocean Import ,307,ImportDelivery,-141595.1,5381422.0,,
Zoe Gomez (Elite Jewels Daily Wage),307,Wage,-192.0,5351822.0,3.0,Elite Jewels
Marketing campaigns for Kalico Midtown,307,Marketing,-2750.0,5374922.0,4.0,Kalico Midtown
Katherine Moss (Elite Jewels Daily Wage),307,Wage,-200.0,5351578.0,3.0,Elite Jewels
42 3rd Street rent revenue,307,RentRevenue,290.7497,4980701.0,,
Eve Sullivan (Kalico Midtown Daily Wage),307,Wage,-240.0,5348159.0,4.0,Kalico Midtown
Joel Rogers (Kalico Midtown Daily Wage),307,Wage,-240.0,5347919.0,4.0,Kalico Midtown
Emilia White (Kalico Midtown Daily Wage),307,Wage,-224.0,5348599.0,4.0,Kalico Midtown
Zachary Hill (Warehouse #2 Daily Wage),307,Wage,-159.6,5348823.0,,
Tommy Brooks (Katalytica Daily Wage),307,Wage,-44.0,5351778.0,12.0,Katalytica
Eliza Owens (Katar Midtown Daily Wage),307,Wage,-432.0,5348982.0,13.0,Katar Midtown
Justin Mitchell (Karvin Kween Daily Wage),307,Wage,-208.0,5349414.0,9.0,Karvin Kween
Bradley Turner (Karvin Kween Daily Wage),307,Wage,-90.0,5349622.0,9.0,Karvin Kween
Lara Wright (Elite Couture Daily Wage),307,Wage,-232.0,5349712.0,2.0,Elite Couture
Frederick Kelly (Elite Couture Daily Wage),307,Wage,-216.0,5350016.0,2.0,Elite Couture
Traci Parker (Elite Jewels Daily Wage),307,Wage,-208.0,5350232.0,3.0,Elite Jewels
Curtis Norris (Elite Jewels Daily Wage),307,Wage,-184.0,5350440.0,3.0,Elite Jewels
Abbie Lopez (Katar Midtown Daily Wage),307,Wage,-168.0,5350624.0,13.0,Katar Midtown
Olivia Cox (Katalytica Daily Wage),307,Wage,-432.0,5350792.0,12.0,Katalytica
Maria Willis (Karvin Kween Daily Wage),307,Wage,-200.0,5351224.0,9.0,Karvin Kween
Lara Norris (Warehouse #1 Daily Wage),307,Wage,-153.9,5351424.0,,
Lilly Harris (Elite Couture Daily Wage),307,Wage,-72.0,5349944.0,2.0,Elite Couture
Danielle Mitchell (Kalico Midtown Daily Wage),307,Wage,-200.0,5348399.0,4.0,Kalico Midtown
Traci Martin (The Suits Law Firm Daily Wage),308,Wage,-1544.0,888793.8,18.0,The Suits Law Firm
Courtney Nicholson (The Suits Law Firm Daily Wage),308,Wage,-726.0,890337.8,18.0,The Suits Law Firm
Ava Rogers (The Suits Law Firm Daily Wage),308,Wage,-1008.0,892395.8,18.0,The Suits Law Firm
Owen Martin (The Suits Law Firm Daily Wage),308,Wage,-364.0,891063.8,18.0,The Suits Law Firm
Charlotte Murphy (The Suits Law Firm Daily Wage),308,Wage,-954.0,887839.8,18.0,The Suits Law Firm
Bonnie Howard (The Suits Law Firm Daily Wage),308,Wage,-888.0,886951.8,18.0,The Suits Law Firm
Nicholas Sanchez (The Suits Law Firm Daily Wage),308,Wage,-968.0,891427.8,18.0,The Suits Law Firm
Zoe Thompson (The Green Salad Daily Wage),308,Wage,-374.0,895433.8,17.0,The Green Salad
Zoe Foster (Katar Midtown Daily Wage),308,Wage,-300.0,894427.8,13.0,Katar Midtown
Mark Nelson (Katar Midtown Daily Wage),308,Wage,-258.0,894727.8,13.0,Katar Midtown
Harvey Anderson (The Green Salad Daily Wage),308,Wage,-448.0,894985.8,17.0,The Green Salad
Jennifer Kelly (The Green Salad Daily Wage),308,Wage,-400.0,895807.8,17.0,The Green Salad
Leon Powell (Kalico Midtown Daily Wage),308,Wage,-64.0,896207.8,4.0,Kalico Midtown
Joel Rogers (Kalico Midtown Daily Wage),308,Wage,-240.0,896271.8,4.0,Kalico Midtown
Eve Sullivan (Kalico Midtown Daily Wage),308,Wage,-240.0,896511.8,4.0,Kalico Midtown
Margaret Smith (The Suits Law Firm Daily Wage),308,Wage,-232.0,886719.8,18.0,The Suits Law Firm
Taylor Myers (The Suits Law Firm Daily Wage),308,Wage,-1024.0,893403.8,18.0,The Suits Law Firm
Leah Martin (The Suits Law Firm Daily Wage),308,Wage,-846.0,885873.8,18.0,The Suits Law Firm
Kalico Midtown Revenue,308,Revenue,24914.0,1007793.0,4.0,Kalico Midtown
Lewis Murphy (Karakata Associates Daily Wage),308,Wage,-760.0,885057.8,5.0,Karakata Associates
Katar Midtown Revenue,308,Revenue,51207.0,1505916.0,13.0,Katar Midtown
Elite Jewels Revenue,308,Revenue,330100.0,1455867.0,3.0,Elite Jewels
The Green Salad Revenue,308,Revenue,17790.0,1126926.0,17.0,The Green Salad
Elite Couture Revenue,308,Revenue,92640.0,1109386.0,2.0,Elite Couture
Karvin Kween Revenue,308,Revenue,10080.0,1017258.0,9.0,Karvin Kween
Emilia White (Kalico Midtown Daily Wage),308,Wage,-168.0,896751.8,4.0,Kalico Midtown
Karakata Associates Revenue,308,Revenue,8550.0,983196.2,5.0,Karakata Associates
Katalytica Revenue,308,Revenue,9500.0,974670.5,12.0,Katalytica
The Suits Law Firm Revenue,308,Revenue,82800.0,965298.6,18.0,The Suits Law Firm
Public parking for UMC Desert,308,PublicParking,-120.0,882699.8,,
Curtis Harris (Katar Midtown Daily Wage),308,Wage,-42.0,882819.8,13.0,Katar Midtown
Jason Miller (Elite Jewels Daily Wage),308,Wage,-416.0,882861.8,3.0,Elite Jewels
Justin Davis (Katar Midtown Daily Wage),308,Wage,-156.0,883277.8,13.0,Katar Midtown
Curtis Jackson (Katar Midtown Daily Wage),308,Wage,-144.0,883433.8,13.0,Katar Midtown
Sadie Powell (Karakata Associates Daily Wage),308,Wage,-40.0,883577.8,5.0,Karakata Associates
Lewin Allen (Karakata Associates Daily Wage),308,Wage,-736.0,883617.8,5.0,Karakata Associates
Marie Walker (Karakata Associates Daily Wage),308,Wage,-704.0,884353.8,5.0,Karakata Associates
Kevin Bennett (The Suits Law Firm Daily Wage),308,Wage,-56.0,885817.8,18.0,The Suits Law Firm
Mollie Martinez (Kalico Midtown Daily Wage),308,Wage,-150.0,896919.8,4.0,Kalico Midtown
3 2nd Avenue Rent,308,Rent,-154.5364,5468386.0,,
Justin Mitchell (Karvin Kween Daily Wage),308,Wage,-208.0,897229.4,9.0,Karvin Kween
Marketing campaigns for Kalico Midtown,308,Marketing,-2750.0,5923068.0,4.0,Kalico Midtown
Marketing campaigns for Karakata Associates,308,Marketing,-500.0,5925818.0,5.0,Karakata Associates
59 3rd Street Rent,308,Rent,-75.99196,5422586.0,,
Marketing campaigns for The Suits Law Firm,308,Marketing,-2750.0,5926818.0,18.0,The Suits Law Firm
Delivery from BlueStone Imports,308,ImportDelivery,-38992.1,5929568.0,,
6 3rd Avenue Rent,308,Rent,-1158.506,5929815.0,,
30 2nd Avenue Rent,308,Rent,-1158.506,5599173.0,,
Marketing campaigns for Karvin Kween,308,Marketing,-1350.0,5921718.0,9.0,Karvin Kween
19 1st Avenue Rent,308,Rent,-250.508,5582444.0,,
5 8th Street Rent,308,Rent,-135.4097,5478674.0,,
33 5th Avenue Rent,308,Rent,-230.1557,5478810.0,,
21 5th Avenue Rent,308,Rent,-145.9717,5479040.0,,
24 2nd Avenue Rent,308,Rent,-460.3931,5468540.0,,
29 1st Avenue Rent,308,Rent,-317.3102,5440027.0,,
31 1st Avenue Rent,308,Rent,-201.106,5326662.0,,
29 5th Avenue Rent,308,Rent,-24.32862,5431509.0,,
Zachary Hill (Warehouse #2 Daily Wage),308,Wage,-159.6,897069.8,,
Marketing campaigns for Elite Couture,308,Marketing,-1350.0,5920368.0,2.0,Elite Couture
Marketing campaigns for Katalytica,308,Marketing,-500.0,5926318.0,12.0,Katalytica
Marketing campaigns for Elite Jewels,308,Marketing,-9350.0,5909668.0,3.0,Elite Jewels
